bikerack,wkt,contributor,modified,access,capacity,dataset,covered,parking,description,stuff,label,area,streetName,prove,cluster
http://qrowd-project.eu/resource/node927359418,POINT(11.1241637 46.0684013),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node885670132,POINT(11.1237587 46.0674692),,,,30,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/6453b170-f33d-46a2-b4aa-69ab9e235464,"LINESTRING (11.124716326147233 46.06784838284869, 11.124705057467702 46.06779370154234)",,,,10,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node1369533465,POINT(11.1246869 46.0677482),,,,20,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node1312440679,POINT(11.1201203 46.0670231),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/ede2e0c0-777e-4660-9a7f-327dab44665f,POINT (11.124028386 46.065932833),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1638162310,POINT(11.1230963 46.07015),,,,6,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node938729359,POINT(11.1244926 46.0669955),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/da7bdd5a-7090-4e79-b71a-c1830d7ade1b,POINT (11.1226556181 46.0685283818),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/7403f1a6-4e16-40c2-afba-719c37c35a5f,POINT (11.1259851653 46.0689192952),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/2cc6215e-6668-498a-a0fd-8edf7506023b,"LINESTRING (11.123608083798585 46.06565931081751, 11.123649365522837 46.06565982000625)",,,,9,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/40cb2667-9e00-4a7c-8be2-dbaaf4feb378,"LINESTRING (11.123910303244925 46.06842185266507, 11.123864948920227 46.06838695291854)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node560584081,POINT(11.1195098 46.0687528),,,,21,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/1b6368ec-ae44-4000-bbf1-79390cdf6a42,"LINESTRING (11.121813461679565 46.0675206487569, 11.121841608140079 46.067393749353926)",,,,20,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node889555365,POINT(11.1241149 46.0660002),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/7ff0cae0-513d-4f1b-a3f7-bc86c721698f,"LINESTRING (11.122958978776998 46.06692875862396, 11.123210646959317 46.06696365432484)",,,,56,,,,,,,,,Rastrelliere per biciclette,
