bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack13,POINT (11.1244586258 46.0684404551),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack36,POINT (11.1246841726 46.0711539162),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack41,POINT (11.1266870735 46.0694846896),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack32,POINT (11.1201652146 46.0670909963),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack40,POINT (11.124179808 46.0672809211),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node885670069,POINT(11.1259804 46.0688747),http://linkedgeodata.org/triplify/user330007,2011-07-19T18:52:28,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.11,"LINESTRING (11.123416347706865 46.06929014026655, 11.12342015742714 46.0692460291172)",,,,monofacciale,8,,,piazza C. Battisti  n.posti  8  -  monofacciale,piazza C. Battisti  n.posti  8  -  monofacciale,ZTL,piazza C. Battisti,trento,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack17,POINT (11.1223396013 46.0652832904),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack17-rastrelliere.38
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack39,POINT (11.1266606537 46.0705009668),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack39-rastrelliere.8
http://linkedgeodata.org/triplify/node880591119,POINT(11.1226356 46.0685362),http://linkedgeodata.org/triplify/user330007,2014-03-27T21:21:16,,,8,,,,,,,osm,
http://linkedgeodata.org/triplify/node1330657604,POINT(11.1263235 46.0674468),http://linkedgeodata.org/triplify/user330007,2011-06-19T23:32:03,,,7,,,,,,,osm,
http://linkedgeodata.org/triplify/node1474641648,POINT(11.1225282 46.0652357),http://linkedgeodata.org/triplify/user330007,2011-10-21T00:04:04,,,20,,,,,,,osm,
http://linkedgeodata.org/triplify/node927359418,POINT(11.1241637 46.0684013),http://linkedgeodata.org/triplify/user330007,2011-11-14T22:10:50,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node1962487942,POINT(11.1246609 46.0687261),http://linkedgeodata.org/triplify/user330007,2012-10-13T14:37:04,,,4,,,,,,,osm,
http://linkedgeodata.org/triplify/node890517069,POINT(11.1215881 46.0712655),http://linkedgeodata.org/triplify/user330007,2010-10-14T22:48:19,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack24,POINT (11.1235802942 46.0656540988),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack3,POINT (11.1240523371 46.069898792),,,,,,,,,,,,qrowd,
http://qrowd-project.eu/resource/rastrelliere.2,"LINESTRING (11.1187281760855 46.06963695257342, 11.118705985106695 46.06972799783253)",,,,monofacciale,12,,,piazza della Portella  n.posti  12  -  monofacciale,piazza della Portella  n.posti  12  -  monofacciale,ZTL,piazza della Portella,trento,
http://qrowd-project.eu/resource/rastrelliere.29,"LINESTRING (11.119824480411374 46.066680593382465, 11.120017783478179 46.06669998413097)",,,,monofacciale,36,,,via Verdi  n.posti  36  -  monofacciale,via Verdi  n.posti  36  -  monofacciale,ZTL,via Verdi,trento,
